key,code,details,difficulty-level,creation-moment,update-moment,link,time,draft-mode,key:project,key:developer
module-01,ABC-123,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-02,XYZ-123,السلام عليكم ورحمة الله وبركاته. كيف حالكم اليوم؟,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-03,DEF-789,<h1>hacked</h1>,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-04,WXY-234,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-05,GHI-345,' or 'A'='A,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-06,ACD-121,S,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-07,ACD-122,Se,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-08,ACD-123,Sed ut perspiciatis unde omnis iste natus error si,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-09,RST-124,Sed ut perspiciatis unde omnis iste natus error si sed ut perspiciatis unde omnis iste natus errora,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-10,RST-724,Sed ut perspiciatis unde omnis iste natus error si sed ut perspiciatis unde omnis iste natus erroraa,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-11,RST-129,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-12,RST-126,Sed ut perspiciatis unde omnis,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-13,URS-678,Sed ut perspiciatis unde omnis,INTERMEDIATE,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-14,DSO-678,Sed ut perspiciatis unde omnis,ADVANCED,2020/04/04 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-15,DSO-285,Sed ut perspiciatis unde omnis,BASIC,2020/12/31 23:59,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-16,BCD-890,Sed ut perspiciatis unde omnis,BASIC,2021/01/01 00:00,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-17,JBP-786,Sed ut perspiciatis unde omnis,BASIC,2020/02/29 14:35,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-18,JBP-929,Sed ut perspiciatis unde omnis,BASIC,2000/01/01 00:00,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-19,JBP-781,Sed ut perspiciatis unde omnis,BASIC,2000/01/01 00:01,2020/04/19 14:54,https://example.com/objective,20,false,project-01,developer-01
module-20,UVW-456,Sed ut perspiciatis unde omnis,BASIC,2022/07/29 23:59,2020/04/04 14:35,https://example.com/objective,20,false,project-01,developer-01
